Date,Apple_Price,Apple_Transaction_Quantity,Mandarin_Price,Mandarin_Transaction_Quantity,Japanese_Pear_Price,Japanese_Pear_Transaction_Quantity,Hirosaki_Average_Temperature,Hirosaki_Precipitation,Hirosaki_Sunshine_Duration,Hirosaki_Maximum_Snow_Depth,Hirosaki_Snowfall,Hirosaki_Maximum_Wind_Speed,Tokyo_Average_Temperature,Tokyo_Precipitation,Tokyo_Sunshine_Duration,Tokyo_Maximum_Wind_Speed
2011/10/1,244,155162,241,273414,225,428570,11.9,0.5,3.3,0,0,6,22.2,0,1.5,5.4
2011/10/2,,,,,,,9.9,2,4.6,0,0,5.9,18.5,0,0,3.9
2011/10/3,263,227288,242,461379,225,399231,9.1,8,2.2,0,0,5.6,18.8,0,5.6,6.5
2011/10/4,252,182805,222,319299,228,248161,11.9,0.5,3.6,0,0,4.5,18.5,0,9.9,5.2
2011/10/5,276,143782,216,359567,225,266035,13.8,0,6.7,0,0,2.5,15.9,53.5,0,5.1
2011/10/6,309,117009,221,291439,227,237477,14.7,15.5,2.9,0,0,3,20.4,3,5.8,4.9
2011/10/7,306,134621,207,419430,228,183511,13.2,11,0.4,0,0,5.4,21.1,1.5,10.8,8.5
2011/10/8,335,186205,206,550925,229,214366,13.3,0,8.3,0,0,4,19.7,0,6.3,5.2
2011/10/9,,,,,,,13.2,0,10.1,0,0,4,20.1,0,4.5,4.3
2011/10/10,,,,,,,14.4,1,3,0,0,4.8,20.4,6,5.9,4.4
2011/10/11,338,153329,194,839311,228,275786,12.1,0,8.8,0,0,4.2,21.2,0,3.3,4.8
2011/10/12,325,148945,195,412290,242,103789,13.4,0,9.9,0,0,6.5,20.5,0,6.7,5.1
2011/10/13,342,124444,191,596514,250,142229,12.6,0,8.8,0,0,4.3,20.5,0,0.9,4.2
2011/10/14,351,151448,190,501130,250,126645,13.1,2,8.3,0,0,2.8,21.2,4,5.5,6
2011/10/15,341,115401,176,676903,251,191612,16.3,15,0.1,0,0,2.6,24.3,2,0.3,10.7
2011/10/16,,,,,,,17.4,3,6.2,0,0,8.8,24.8,8,6.2,8.2
2011/10/17,348,153432,182,671772,249,118385,14.2,1.5,2.3,0,0,6.8,21.5,0,4.9,4.7
2011/10/18,336,102048,177,449428,266,170871,9,0,1.1,0,0,5.4,19.1,0,3.5,5.3
2011/10/19,344,62190,177,483307,277,110011,11.1,0,10.3,0,0,4,15.9,0,0,5.2
2011/10/20,334,94215,158,904822,272,161510,11.7,0,10.3,0,0,3.1,17.7,0,1.3,5
2011/10/21,324,114967,176,584599,256,134415,13.3,0,10,0,0,2.8,18.3,4,0,4.8
2011/10/22,331,101631,180,587743,282,185993,14.6,0,0,0,0,3.8,19.5,37.5,0.1,6.5
2011/10/23,,,,,,,16.7,14.5,0.6,0,0,3.9,22.7,0,2.8,5.9
2011/10/24,324,107173,179,850363,300,130165,13.9,0.5,2.9,0,0,3.1,20.7,0,0.9,3.9
2011/10/25,313,76656,170,660915,250,138452,12.4,6.5,0,0,0,7.7,21.8,0,5.9,6.7
2011/10/26,,,,,,,8.8,0,0.4,0,0,4.7,16.7,0,9.2,7.7
2011/10/27,322,127848,176,595889,258,133384,8.8,0,8.3,0,0,3.8,15.2,0,9.8,4.3
2011/10/28,305,85352,172,841616,259,96866,9,0,8.5,0,0,3.3,15.5,0,9.4,5.3
2011/10/29,292,82784,170,562238,245,132349,10.2,0,9.5,0,0,2.9,16,0,9.3,4.4
2011/10/30,,,,,,,11.5,0,2.2,0,0,2.9,16.9,0,3.3,4.2
